Container No,Pasted Customer Name,Master Sheet Current Status,Master Sheet Customer Name,Master Sheet Order No
TITU9927240,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
CICU1799177,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
CICU1442240,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
CICU1442235,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
CICU3876570,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,QAS-5023 -1
CICU1799161,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
TDRU5815332,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
PCIU6015055,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
TDRU7151504,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
CICU1799156,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
TRIU6618391,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
CICU2779935,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
CICU2779909,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
CICU2094047,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
CICU2779914,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
CICU2779895,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
CICU2779940,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
TRIU8850831,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
TDRU7151905,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
CICU2779920,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
CICU2094052,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
CICU2094031,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
APRU5066497,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
CGMU2991679,Reliance Industries Ltd,LEASE,Reliance Industries Ltd,
CCLU1031918,Reliance Industries Ltd,LEASE,Reliance Industries Ltd,
TRIU6618663,Reliance Industries Ltd,LEASE,Reliance Industries Ltd,
TITU8259465,Switz International Pvt. Ltd.,LEASE,Switz International Pvt. Ltd.,
APRU5000210,Lauras Lab Limited unit 1,LEASE,Lauras Lab Limited unit 1,
CXRU1037308,Lauras Lab Limited unit 1,LEASE,Lauras Lab Limited unit 1,
KKFU6711724,Lauras Lab Limited unit 3,LEASE,Lauras Lab Limited unit 3,
DFOU6120384,Lauras Lab Limited unit 3,LEASE,Lauras Lab Limited unit 3,
MYRU4500613,Laurus Labs Limited Unit 4,LEASE,Laurus Labs Limited Unit 4,
GATU0802746,ITC Limited Foods Division C/o Aasma Foods and Beverages PV,LEASE,ITC Limited Foods Division C/o Aasma Foods and Beverages PV,
CXRU1186451,Longchem International Trading Company Limited,LEASE,Longchem International Trading Company Limited,
CXRU1045200,Shivamrut Dudh Utpadak Sahakari Sangh Maryadit,LEASE,Shivamrut Dudh Utpadak Sahakari Sangh Maryadit,
ARCU4530799,Kirloskar Corrocoat Pvt.Ltd,LEASE,Kirloskar Corrocoat Pvt.Ltd,
CXRU1033344,Cipla Ltd (Unit-1),LEASE,Cipla Ltd (Unit-1),
CXRU1033787,Cipla Ltd (Unit-1),LEASE,Cipla Ltd (Unit-1),
CICU2094073,Cipla Ltd (Unit-1),LEASE,Cipla Ltd (Unit-1),
TITU3528319,Cipla Ltd (Unit-1),LEASE,Cipla Ltd (Unit-1),
CXRU1186425,Hetero Labs Ltd - SEZ (Unit-V),LEASE,Hetero Labs Ltd - SEZ (Unit-V),
CXRU1186467,Hetero Labs Ltd - SEZ (Unit-V),LEASE,Hetero Labs Ltd - SEZ (Unit-V),
CXRU1045896,Dr Reddy's Laboratories Ltd CTO 5,LEASE,Dr Reddy's Laboratories Ltd CTO 5,
CCLU1031878,Navin Fluorine Advanced Sciences Limited ('NFASL'),LEASE,Navin Fluorine Advanced Sciences Limited ('NFASL'),
CXRU1035856,PI Industries Limited,LEASE,PI Industries Limited,
TCLU1906493,OLA Cell Technology,Offlease,OLA Cell Technology,
TITU8259378,Transys Global Forwarding Pvt Ltd,LEASE,Transys Global Forwarding Pvt Ltd,
TRIU6681434,Medispray,LEASE,Medispray,
CRIU1754948,Huntsman Solutions India Private Limited,Lease,Huntsman Solutions India Private Limited,
CRIU2600314,Huntsman Solutions India Private Limited,Lease,Huntsman Solutions India Private Limited,
PCIU6008328,Sai Life Science,LEASE,Sai Life Science,
TRIU6681882,Lupin Limited,LEASE,Lupin Limited,
CCLU1036859,Lupin Limited,LEASE,Lupin Limited,
CXRU1030746,Hetero Labs Limited Unit V (SEZ)aB,LEASE,Hetero Labs Limited Unit V (SEZ)–B,
TCLU1912270,DHL Supply Chain India Pvt Ltd - Ahmedabad,LEASE,DHL Supply Chain India Pvt Ltd - Ahmedabad,
TITU3528638,Reliance Consumer Products Limited,LEASE,Reliance Consumer Products Limited,
CICU1625914,Tan 90 Thermal Solutions Pvt.Ltd,LEASE,Tan 90 Thermal Solutions Pvt.Ltd,
CAIU5422720,Aspiro Pharma Ltd,LEASE,Aspiro Pharma Ltd,
BMOU9766180,Ajinomoto Bio-Pharma Services India Pvt Ltd,LEASE,Ajinomoto Bio-Pharma Services India Pvt Ltd,
CICU3876610,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
TDRU7153256,Lauras Lab Limited unit 3,LEASE,Lauras Lab Limited unit 3,
TITU9930032,Sai Life Science,LEASE,Sai Life Science,
ARCU4530720,Apitoria pharma unit 04,LEASE,Apitoria pharma unit 04,
GSOU6384153,Dr Reddy's Laboratories Ltd CTO 5,LEASE,Dr Reddy's Laboratories Ltd CTO 5,
CXRU1032564,Dr Reddy's Laboratories Ltd CTO 5,LEASE,Dr Reddy's Laboratories Ltd CTO 5,
TRIU6680335,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
CXRU1043912,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
TCLU1130265,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
CXRU1045453,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
CICU2094089,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
PCIU6010243,ITC Ltd C/o RTE - ICMF Mysore,LEASE,ITC Ltd C/o RTE - ICMF Mysore,QAS-3007
CICU3876631,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,QAS_0002
MYRU4503459,Beejapuri Dairy Pvt.Ltd,LEASE,Beejapuri Dairy Pvt.Ltd,
CICU3876626,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
MYRU4519753,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,QAS_0003
TRIU6680994,Laurus Synthesis Pvt.Ltd,LEASE,Laurus Synthesis Pvt.Ltd,QAS 2880 REVISED
TGHU3278292,Compass India Services Pvt.Ltd,LEASE,Compass India Services Pvt.Ltd,
MESU2003421,Compass India Services Pvt.Ltd,LEASE,Compass India Services Pvt.Ltd,
SJKU4000104,DSV Air & Sea Private Limited,Offlease,DSV Air & Sea Private Limited,
MOFU5883952,Water Express Line LLP,LEASE,Water Express Line LLP,QAS-5119/24-25
TITU5297097,Water Express Line LLP,LEASE,Water Express Line LLP,QAS-5119/24-25
TITU5698295,Water Express Line LLP,LEASE,Water Express Line LLP,QAS-5119/24-25
TITU5297076,Water Express Line LLP,LEASE,Water Express Line LLP,QAS-5119/24-25
TITU5250485,Water Express Line LLP,LEASE,Water Express Line LLP,QAS-5119/24-25
HDMU5220720,UPS SCS India Private Limited,LEASE,UPS SCS India Private Limited,
TITU9930006,DSV Air & Sea Private Limited,Offlease,DSV Air & Sea Private Limited,
TRIU6616871,Celon Laboratories PVT ltd,LEASE,Celon Laboratories PVT ltd,
CICU1441645,Biological E ltd - Vaccine Division,LEASE,Biological E ltd - Vaccine Division,
CXRU1040322,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,QAS-014- No
TRLU1741601,Matrix Pharmacorp Private Limited,LEASE,Matrix Pharmacorp Private Limited,QAS-5113
TCLU1912006,Kirloskar Corrocoat Pvt.Ltd,LEASE,Kirloskar Corrocoat Pvt.Ltd,QAS-018- No
TCLU1912290,Lauras Lab Limited unit 3,LEASE,Lauras Lab Limited unit 3,QAS159
SJKU4000110,UPS SCS India Private Limited,LEASE,UPS SCS India Private Limited,
CRLU6220410,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,QAS-019- No
CICU3876544,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,QAS-019- No
CBHU2811760,Tata Advanced Systems Ltd,LEASE,Tata Advanced Systems Ltd,
TRIU6681542,Biocon Limited,LEASE,Biocon Limited,
CCLU1035976,Biocon Limited,LEASE,Biocon Limited,
MYRU4515188,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,QAS-019- No
TRIU6617353,Kirloskar Corrocoat Pvt.Ltd,Offlease,Kirloskar Corrocoat Pvt.Ltd,QAS 273-R1
TRIU6617353,Kirloskar Corrocoat Pvt.Ltd,Offlease,ZENFOLD SUSTAINABLE TECHNOLOGIES PRIVATE LIMITED,QAS 273-R1
MSCU9692143,PI Industries,LEASE,PI Industries,QAS3253
TRLU8177704,PI Industries,LEASE,PI Industries,QAS3253A
TDTU6402182,PI Industries,LEASE,PI Industries,QAS3253B
MSCU9729237,PI Industries,LEASE,PI Industries,QAS3253C
MYRU4517508,ITC LTD ABD (CO) Star Agro Marine Export Pvt Ltd,LEASE,ITC LTD ABD (CO) Star Agro Marine Export Pvt Ltd,QAS-5113
KKFU6710760,Lauras Lab Limited unit 3,LEASE,Lauras Lab Limited unit 3,
TITU9930222,Laurus Labs Limited-Unit 2,LEASE,Laurus Labs Limited-Unit 2,QAS29138
CRSU6101910,Laurus Labs Limited-Unit 2,LEASE,Laurus Labs Limited-Unit 2,QAS-5521-F
GESU9454776,Laurus Labs Limited-Unit 2,LEASE,Laurus Labs Limited-Unit 2,QAS-5521-G
CICU3876586,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
GLDU0808155,PI Industries Limited (SEZ Unit II),LEASE,PI Industries Limited (SEZ Unit II),QAS3253H
YMLU8349395,PI Industries Limited (SEZ Unit II),LEASE,PI Industries Limited (SEZ Unit II),QAS3253I
KKFU7711971,PI Industries Limited (SEZ Unit II),LEASE,PI Industries Limited (SEZ Unit II),QAS3253E
MSCU7850430,PI Industries Limited (SEZ Unit II),LEASE,PI Industries Limited (SEZ Unit II),QAS3253J
HNKU5113762,PI Industries Limited (SEZ Unit II),LEASE,PI Industries Limited (SEZ Unit II),QAS3253M
TRLU8190780,PI Industries Limited (SEZ Unit II),LEASE,PI Industries Limited (SEZ Unit II),QAS3253K
MSCU5813587,PI Industries Limited (SEZ Unit II),LEASE,PI Industries Limited (SEZ Unit II),
GESU9529290,Laurus Labs Limited-Unit 2,LEASE,Laurus Labs Limited-Unit 2,QAS-5521-E
CXRU1036533,Laurus Labs Limited-Unit 2,LEASE,Laurus Labs Limited-Unit 2,QAS-5521-J
CRIU4024012,Cipla Ltd Unit 7PD2,LEASE,Cipla Ltd Unit 7PD2,QAS-3009
CRIU4024028,Cipla Ltd Unit 7PD2,LEASE,Cipla Ltd Unit 7PD2,QAS-3009
HDMU5584444,Laurus Labs Limited-Unit 2,LEASE,Laurus Labs Limited-Unit 2,QAS-4073
HDMU5586473,Laurus Labs Limited-Unit 2,LEASE,Laurus Labs Limited-Unit 2,QAS-4073
CXRU1326276,Hetero Labs Ltd - unit 3 (EOU),LEASE,Hetero Labs Ltd - unit 3 (EOU),QAS3407
CXRU1550769,Hetero Labs Ltd - unit 3 (EOU),LEASE,Hetero Labs Ltd - unit 3 (EOU),QAS3407A
BMOU9782197,Laurus Labs Limited-Unit 2,LEASE,Laurus Labs Limited-Unit 2,QAS-5521-B
CXRU1031845,Laurus Labs Limited-Unit 2,LEASE,Laurus Labs Limited-Unit 2,QAS-5521-C
HDMU5221979,ITC Ltd/M/s Bengal Nestor Industries,LEASE,ITC Ltd/M/s Bengal Nestor Industries,QAS-2968
BMOU9721062,ITC LtdC/o KGVK Agro Ltd,Offlease,ITC LtdC/o KGVK Agro Ltd,QAS-3007-No
TCLU1910472,ITC Ltd C/o M/s Bengal Nestor Industries,LEASE,ITC Ltd C/o M/s Bengal Nestor Industries,QAS 273-R
GESU9460634,Sai Life Sciences,LEASE,Sai Life Sciences,QAS-004- No
TITU5698274,Avenue Supermarts Ltd,LEASE,Avenue Supermarts Ltd,
BMOU9787239,Apitoria pharma unit 04,LEASE,Apitoria pharma unit 04,
TDRU7151675,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,OR028A
MYRU4518356,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,OR028B
TCLU1903088,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,OR028
SJKU4000017,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,OR014
CICU3876523,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,OR019
CICU3876550,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,OR020
MYRU4518166,Kirloskar Corrocoat Pvt.Ltd,LEASE,Kirloskar Corrocoat Pvt.Ltd,QAS 3504G
ORCU0242103,Bhauwaru Construction Company,LEASE,Bhauwaru Construction Company,OR024
TMLU4245442,Bhauwaru Construction Company,LEASE,Bhauwaru Construction Company,OR021
MLKU5435499,Bhauwaru Construction Company,LEASE,Bhauwaru Construction Company,OR022
BMOU9748382,Biocon pharma Limited,LEASE,Biocon pharma Limited,OR035
BMOU9759767,Biocon pharma Limited,LEASE,Biocon pharma Limited,OR034
CICU3876605,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,OR056
CICU2094068,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,OR057
SEGU9511192,Takshavi,Offlease,Takshavi,
HDMU5542114,Sai Life Sciences,LEASE,Sai Life Sciences,QAS 3504E
PCIU6031328,Sai Life Sciences,LEASE,Sai Life Sciences,OR044
PCIU6032622,Sai Life Sciences,LEASE,Sai Life Sciences,OR045
CICU8118130,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,OR088
SJKU4000022,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,OR089
EISU3966451,Siemens Ltd,LEASE,Siemens Ltd,QAS-4017
PCIU6034374,Sai Life Sciences,LEASE,Sai Life Sciences,OR081
CICU3876565,Hetero Unit 1,LEASE,Hetero Unit 1,QAS-5023
TITU9930011,Lauras Lab Limited unit 1,LEASE,Lauras Lab Limited unit 1,
PCIU5822411,Kirloskar Corrocoat Pvt.Ltd,LEASE,Kirloskar Corrocoat Pvt.Ltd,
TITU8257288,Softbox Systems India Pvt.Ltd,LEASE,Softbox Systems India Pvt.Ltd,
CICU1937445,Lauras Lab Limited unit 6,LEASE,Lauras Lab Limited unit 6,OR084
CICU3876591,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,QAS-3161/24-25
TRIU6644889,Kaira District Cooperative Milk Producers' Union Ltd.,LEASE,Kaira District Cooperative Milk Producers' Union Ltd.,QAS-2851A/24-25
TRIU6616911,Kaira District Cooperative Milk Producers' Union Ltd.,LEASE,Kaira District Cooperative Milk Producers' Union Ltd.,OR168
BMOU9788370,Tata Advanced Systems Ltd,LEASE,Tata Advanced Systems Ltd,OR159
GESU9454950,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,QAS 3504F
MOAU0749105,SVR Medical Technologies Pvt Ltd,LEASE,SVR Medical Technologies Pvt Ltd,OR175
CICU1799140,Laurus Labs Limited Unit 4,LEASE,Laurus Labs Limited Unit 4,OR190
SEGU9090350,Ajinomoto Bio-Pharma Services India Pvt Ltd,LEASE,Ajinomoto Bio-Pharma Services India Pvt Ltd,OR170
SITE CABIN 53,Network Akashic India Pvt Ltd,LEASE,Network Akashic India Pvt Ltd,OR183
GRMU3605781,Kaira District Cooperative Milk Producers' Union Ltd.,Offlease,Kaira District Cooperative Milk Producers' Union Ltd.,OR115
SEGU9052030,ITC Limited Food Division,LEASE,ITC Limited Food Division,QAS 3504A
CXRU1032327,ITC Limited Food Division,LEASE,ITC Limited Food Division,QAS-002- No
CXRU1036301,Uttar Banga Dairy (P) Ltd,LEASE,Uttar Banga Dairy (P) Ltd,QAS-008- No
SEGU9055868,Dr Reddy - Biotechnology Division,LEASE,Dr Reddy - Biotechnology Division,OR235
SEGU9107489,Dr Reddy - Biotechnology Division,LEASE,Dr Reddy - Biotechnology Division,OR236
CXRU1309957,Dr Reddy - Biotechnology Division,LEASE,Dr Reddy - Biotechnology Division,OR237
MOFU6804304,Dr Reddy - Biotechnology Division,LEASE,Dr Reddy - Biotechnology Division,QAS-5776
MOFU6834090,Dr Reddy - Biotechnology Division,LEASE,Dr Reddy - Biotechnology Division,QAS-5776-R1
GESU9567638,Dr Reddy - Biotechnology Division,LEASE,Dr Reddy - Biotechnology Division,OR239
GESU9569820,Dr Reddy - Biotechnology Division,LEASE,Dr Reddy - Biotechnology Division,OR238
TITU9930069,DSV Air & Sea Private Limited,Offlease,DSV Air & Sea Private Limited,QAS-3441/24-25
CRIU4025071,OneSource Specialty Pharma Limited,LEASE,OneSource Specialty Pharma Limited,OR204
CRIU4025087,OneSource Specialty Pharma Limited,LEASE,OneSource Specialty Pharma Limited,OR205
CRIU4025153,Aspiro Pharma Specialities Pvt Ltd,LEASE,Aspiro Pharma Specialities Pvt Ltd,OR268
CRIU4025148,Aspiro Pharma Specialities Pvt Ltd,LEASE,Aspiro Pharma Specialities Pvt Ltd,OR268
CRIU4025127,Aspiro Pharma Specialities Pvt Ltd,LEASE,Aspiro Pharma Specialities Pvt Ltd,OR268
CRIU4025111,Aspiro Pharma Specialities Pvt Ltd,LEASE,Aspiro Pharma Specialities Pvt Ltd,OR268
CRIU4025106,Dr Reddy - Biotechnology Division,LEASE,Dr Reddy - Biotechnology Division,OR248
CRIU4025169,Dr Reddy - Biotechnology Division,LEASE,Dr Reddy - Biotechnology Division,OR249
CRIU4025092,Aspiro Pharma Specialities Pvt Ltd,LEASE,Aspiro Pharma Specialities Pvt Ltd,OR268
CRIU4025132,Aspiro Pharma Specialities Pvt Ltd,LEASE,Aspiro Pharma Specialities Pvt Ltd,OR268
CCLU1030700,Refrac Consultancy & Services (P) Ltd.,LEASE,Refrac Consultancy & Services (P) Ltd.,QAS-4754/24-25
MYRU4515260,Kirloskar Corrocoat Pvt.Ltd,LEASE,Kirloskar Corrocoat Pvt.Ltd,QAS-005- No
TCKU2842760,Luthra Projects,LEASE,Luthra Projects,OR247
SITE CABIN 52,Luthra Projects,LEASE,Luthra Projects,OR286
GRMU3607418,63Ideas Infolabs Private Limited,LEASE,63Ideas Infolabs Private Limited,OR301
BMOU9729398,Michelin India Pvt Ltd,Offlease,Michelin India Pvt Ltd,OR319
CXRU1033719,Michelin India Pvt Ltd,Offlease,Michelin India Pvt Ltd,OR319
KKFU6706142,Michelin India Pvt Ltd,Offlease,Michelin India Pvt Ltd,QAS-6433/24-25- Revised
MYRU4509035,PI Industries Limited,LEASE,PI Industries Limited,OR177
CXRU1033370,PI Industries Limited,LEASE,PI Industries Limited,OR323
SEGU9058532,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,OR176
CRIU1025041,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
CGMU2989157,Reliance Industries Limited,LEASE,Reliance Industries Limited,OR324
PCIU6025808,Laurus Labs Limited Unit 4,LEASE,Laurus Labs Limited Unit 4,OR330
SJKU4000043,Navin Fluorine International Limited,LEASE,Navin Fluorine International Limited,OR016
SITE CABIN 73,Michelin India Pvt Ltd,LEASE,Michelin India Pvt Ltd,OR346
PCIU6007065,Carborundum Universal Limited,LEASE,Carborundum Universal Limited,QAS-002- No
SITE CABIN 57,Michelin India Pvt Ltd,LEASE,Michelin India Pvt Ltd,OR347
TRIU6616969,Carborundum Universal Limited,LEASE,Carborundum Universal Limited,OR355
GRMU3707464,DR reddy CTO 6,LEASE,DR reddy CTO 6,OR453
GRMU3707464,DR reddy CTO 6,LEASE,Bengaluru Co.op. Milk  Union Ltd.(BAMUL),OR453
SZLU9145420,DR reddy CTO 6,LEASE,DR reddy CTO 6,OR443
SZLU9145420,DR reddy CTO 6,LEASE,CHEMPLAST SANMAR LIMITED,OR443
MYRU4516306,PI Industries,LEASE,PI Industries,QAS-006- No
HNKU6025291,Sushil Satwani,LEASE,Sushil Satwani,OR328
SITE CABIN 92,Michelin India Pvt Ltd,LEASE,Michelin India Pvt Ltd,OR345
PCIU6006639,LSI- Mech Engineers Private Limited,Offlease,LSI- Mech Engineers Private Limited,OR443
PCIU6006639,LSI- Mech Engineers Private Limited,Offlease,CHEMPLAST SANMAR LIMITED,OR443
CGMU2991560,63Ideas Infolabs Private limited,LEASE,63Ideas Infolabs Private limited,OR365
CRIU4025240,One Source Speciality Pharma Limited,LEASE,One Source Speciality Pharma Limited,OR376
CRIU4025338,One Source Speciality Pharma Limited,LEASE,One Source Speciality Pharma Limited,OR376
CXRU1620362,Ajinomoto Bio-Pharma Services India Pvt Ltd,Lease,Ajinomoto Bio-Pharma Services India Pvt Ltd,OR378
CXRU1032498,ION Exchange India Limited,Offlease,ION Exchange India Limited,OR388
SEGU9358102,ION Exchange India Limited,Offlease,ION Exchange India Limited,OR388
GRMU3707470,FM India Supply Chain Private Limited,LEASE,FM India Supply Chain Private Limited,OR114
HDMU5542109,PI Industries,LEASE,PI Industries,OR395
CRIU1025057,Mars International India Private Limited,LEASE,Mars International India Private Limited,OR397
CXRU1041571,Instakart Services Private Limited,LEASE,Instakart Services Private Limited,OR303
BMOU9728663,Instakart Services Private Limited,LEASE,Instakart Services Private Limited,OR135
CXRU1327020,Instakart Services Private Limited,OFFLEASE,Instakart Services Private Limited,OR302
EMCU5305503,Instakart Services Private Limited,LEASE,Instakart Services Private Limited,OR306
APRU5091340,Instakart Services Private Limited,LEASE,Instakart Services Private Limited,OR306
APRU5093234,Instakart Services Private Limited,LEASE,Instakart Services Private Limited,QAS-002- No
HDMU5537036,Instakart Services Private Limited,LEASE,Instakart Services Private Limited,QAS 635-R
EMCU5358627,InstaKart Services(FK) Non Trade,LEASE,InstaKart Services(FK) Non Trade,OR332
SZLU9144892,InstaKart Services(FK) Non Trade,LEASE,InstaKart Services(FK) Non Trade,OR332
SZLU9144510,InstaKart Services(FK) Non Trade,LEASE,InstaKart Services(FK) Non Trade,OR332
HDMU5554394,Instakart Services Private Limited,LEASE,Instakart Services Private Limited,OR350
HDMU5551224,Instakart Services Private Limited,LEASE,Instakart Services Private Limited,OR350
SJKU4000059,Instakart Services Private Limited,LEASE,Instakart Services Private Limited,OR015
MYRU4519748,Instakart Services Private Limited,LEASE,Instakart Services Private Limited,OR349
CXRU1249797,Instakart Services Private Limited,LEASE,Instakart Services Private Limited,OR349
TRIU8214763,Instakart Services Private Limited,LEASE,Instakart Services Private Limited,OR349
CRIU1025015,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,OR400
CRIU4025322,One Source Speciality Pharma Limited,LEASE,One Source Speciality Pharma Limited,OR334
